municipio,uf_raw,populacao,capital,classe_populacao
Belagua,MA,7586.0,0,BAIXO
Bela Vista Do Maranhao,MA,11347.0,0,BAIXO
Benedito Leite,MA,5643.0,0,BAIXO
Bequimao,MA,21317.0,0,BAIXO
Bernardo Do Mearim,MA,6102.0,0,BAIXO
Boa Vista Do Gurupi,MA,8494.0,0,BAIXO
Bom Jardim,MA,42010.0,0,BAIXO
Bom Jesus Das Selvas,MA,35095.0,0,BAIXO
Bom Lugar,MA,16578.0,0,BAIXO
Brejo,MA,36900.0,0,BAIXO
Brejo De Areia,MA,8841.0,0,BAIXO
Buriti,MA,28916.0,0,BAIXO
Buriti Bravo,MA,23993.0,0,BAIXO
Buriticupu,MA,73595.0,0,BAIXO
Buritirana,MA,15503.0,0,BAIXO
Cachoeira Grande,MA,9524.0,0,BAIXO
Cajapio,MA,11255.0,0,BAIXO
Cajari,MA,19521.0,0,BAIXO
Campestre Do Maranhao,MA,14530.0,0,BAIXO
Candido Mendes,MA,20376.0,0,BAIXO
Cantanhede,MA,22236.0,0,BAIXO
Capinzal Do Norte,MA,10937.0,0,BAIXO
Carolina,MA,24151.0,0,BAIXO
Carutapera,MA,24095.0,0,BAIXO
Caxias,MA,166159.0,0,MEDIO
Cedral,MA,10711.0,0,BAIXO
Central Do Maranhao,MA,8806.0,0,BAIXO
Centro Do Guilherme,MA,13876.0,0,BAIXO
Centro Novo Do Maranhao,MA,22056.0,0,BAIXO
Chapadinha,MA,80705.0,0,BAIXO
Cidelandia,MA,14855.0,0,BAIXO
Codo,MA,123368.0,0,MEDIO
Coelho Neto,MA,49804.0,0,BAIXO
Colinas,MA,41443.0,0,BAIXO
Conceicao Do Lago-Acu,MA,16559.0,0,BAIXO
Coroata,MA,65788.0,0,BAIXO
Cururupu,MA,32559.0,0,BAIXO
Davinopolis,MA,12923.0,0,BAIXO
Dom Pedro,MA,23393.0,0,BAIXO
Duque Bacelar,MA,11451.0,0,BAIXO
Esperantinopolis,MA,16971.0,0,BAIXO
Estreito,MA,43097.0,0,BAIXO
Feira Nova Do Maranhao,MA,8506.0,0,BAIXO
Fernando Falcao,MA,10559.0,0,BAIXO
Formosa Da Serra Negra,MA,19425.0,0,BAIXO
Fortaleza Dos Nogueiras,MA,12662.0,0,BAIXO
Fortuna,MA,17812.0,0,BAIXO
Godofredo Viana,MA,12104.0,0,BAIXO
Goncalves Dias,MA,17953.0,0,BAIXO
Governador Archer,MA,10931.0,0,BAIXO
Governador Edison Lobao,MA,18740.0,0,BAIXO
Governador Eugenio Barros,MA,14703.0,0,BAIXO
Governador Luiz Rocha,MA,7878.0,0,BAIXO
Governador Newton Bello,MA,10121.0,0,BAIXO
Governador Nunes Freire,MA,25502.0,0,BAIXO
Graca Aranha,MA,6261.0,0,BAIXO
Grajau,MA,70692.0,0,BAIXO
Guimaraes,MA,11966.0,0,BAIXO
Humberto De Campos,MA,29143.0,0,BAIXO
Icatu,MA,27423.0,0,BAIXO
Igarape Do Meio,MA,14470.0,0,BAIXO
Igarape Grande,MA,11453.0,0,BAIXO
Imperatriz,MA,259980.0,0,MEDIO
Itaipava Do Grajau,MA,16158.0,0,BAIXO
Itapecuru Mirim,MA,69233.0,0,BAIXO
Itinga Do Maranhao,MA,26134.0,0,BAIXO
Jatoba,MA,10464.0,0,BAIXO
Jenipapo Dos Vieiras,MA,17123.0,0,BAIXO
Joao Lisboa,MA,23677.0,0,BAIXO
Joselandia,MA,16228.0,0,BAIXO
Junco Do Maranhao,MA,4334.0,0,BAIXO
Lago Da Pedra,MA,50959.0,0,BAIXO
Lago Do Junco,MA,10900.0,0,BAIXO
Lago Verde,MA,16369.0,0,BAIXO
Lagoa Do Mato,MA,11280.0,0,BAIXO
Lago Dos Rodrigues,MA,8841.0,0,BAIXO
Lagoa Grande Do Maranhao,MA,11534.0,0,BAIXO
Lajeado Novo,MA,7653.0,0,BAIXO
Lima Campos,MA,11943.0,0,BAIXO
Loreto,MA,12271.0,0,BAIXO
Luis Domingues,MA,7016.0,0,BAIXO
Magalhaes De Almeida,MA,20228.0,0,BAIXO
Maracacume,MA,21773.0,0,BAIXO
Maraja Do Sena,MA,7757.0,0,BAIXO
Maranhaozinho,MA,16754.0,0,BAIXO
Mata Roma,MA,17122.0,0,BAIXO
Matinha,MA,23591.0,0,BAIXO
Matoes,MA,34099.0,0,BAIXO
Matoes Do Norte,MA,17316.0,0,BAIXO
Milagres Do Maranhao,MA,8502.0,0,BAIXO
Mirador,MA,21045.0,0,BAIXO
